X1,Y1,sigma_xx,sigma_yy,sigma_zz,sigma_xy,,X,Y,u_x,u_y,|u|
4.128023528,0.107054666,-26.87153655,-63.74505363,-27.18497705,4.617446381,,8.90E-02,2.04E+00,3.66E-06,-1.68E-03,1.68E-03
1.564558708,0.395200572,-26.46240087,-64.10981768,-27.17166557,1.139380805,,8.90E-02,2.00E+00,3.66E-06,-1.62E-03,1.62E-03
4.515145545,0.022899718,-27.0890421,-63.42265335,-27.15350864,5.32915503,,8.90E-02,1.96E+00,3.65E-06,-1.60E-03,1.60E-03
2.777187861,0.31965282,-26.32204995,-64.08012858,-27.12065356,2.463572451,,8.90E-02,1.96E+00,3.65E-06,-1.60E-03,1.60E-03
1.734610179,0.396960304,-26.35251133,-63.97478699,-27.0981895,1.288819781,,8.90E-02,2.00E+00,3.66E-06,-1.62E-03,1.62E-03
1.860680405,0.394107903,-26.3042367,-63.93290276,-27.07114184,1.406984682,,9.44E-02,1.63E+00,3.73E-06,-1.40E-03,1.40E-03
3.090688638,0.29417296,-26.26137364,-63.88508586,-27.04393785,2.890577433,,9.76E-02,2.37E+00,3.97E-06,-2.08E-03,2.08E-03
1.961254562,0.394668245,-26.23369347,-63.84242128,-27.02283442,1.502693046,,1.01E-01,1.90E+00,4.13E-06,-1.57E-03,1.57E-03
0.263645123,0.447927857,-26.35127811,-63.55310913,-26.97131617,0.169872313,,1.02E-01,2.10E+00,4.20E-06,-1.75E-03,1.75E-03
1.058581824,0.436600187,-26.28671055,-63.61242995,-26.96974215,0.717403567,,1.04E-01,1.10E-01,4.34E-07,-1.15E-04,1.15E-04
0.847336388,0.441658735,-26.30501678,-63.58069707,-26.96571416,0.563249625,,1.04E-01,1.10E-01,4.34E-07,-1.15E-04,1.15E-04
0.731935317,0.443691687,-26.31560926,-63.5693643,-26.96549207,0.482290188,,1.04E-01,5.17E-01,1.88E-06,-5.15E-04,5.15E-04
0.937077897,0.440439644,-26.29036536,-63.58013774,-26.96115093,0.627500855,,1.04E-01,3.81E-01,1.43E-06,-3.86E-04,3.86E-04
2.442100888,0.370933645,-26.10443295,-63.73031952,-26.95042574,2.022469961,,1.04E-01,2.45E-01,9.47E-07,-2.53E-04,2.53E-04
1.22256769,0.436840987,-26.22291079,-63.55288697,-26.93273933,0.841231774,,1.04E-01,5.17E-01,1.88E-06,-5.15E-04,5.15E-04
2.090041819,0.399716784,-26.09463233,-63.64078419,-26.92062495,1.626252655,,1.05E-01,3.89E+00,2.96E-06,-2.99E-03,2.99E-03
0.577579143,0.451622609,-26.27478394,-63.45739364,-26.91965327,0.375792383,,1.05E-01,3.49E+00,3.19E-06,-2.90E-03,2.90E-03
1.344708518,0.441038215,-26.13103118,-63.43154923,-26.86877413,0.935081941,,1.05E-01,3.89E+00,2.96E-06,-2.99E-03,2.99E-03
0.463642938,0.461373157,-26.20399014,-63.30270801,-26.85200945,0.298648058,,1.05E-01,3.76E+00,3.00E-06,-2.97E-03,2.97E-03
3.787157828,0.213714189,-26.23551909,-63.26171198,-26.84916932,3.958042154,,1.05E-01,3.62E+00,3.08E-06,-2.94E-03,2.94E-03
1.440386363,0.442631913,-26.07106574,-63.36057234,-26.82949142,1.01140025,,1.05E-01,3.49E+00,3.19E-06,-2.90E-03,2.90E-03
3.446718738,0.272333183,-26.06847574,-63.35396865,-26.82673332,3.398644497,,1.06E-01,1.43E+00,3.97E-06,-1.26E-03,1.26E-03
2.263261994,0.400853844,-25.95214255,-63.442124,-26.81827997,1.803600296,,1.06E-01,1.43E+00,3.97E-06,-1.26E-03,1.26E-03
1.566592435,0.439761141,-26.03405105,-63.3446916,-26.81362279,1.1177793,,1.06E-01,1.57E+00,4.12E-06,-1.36E-03,1.36E-03
4.217051163,0.13327896,-26.42998844,-62.93976426,-26.81092581,4.700482832,,1.06E-01,1.50E+00,4.05E-06,-1.31E-03,1.31E-03
