X,Y,u_x,u_y,,,X1,Y1,sigma_xx,sigma_yy,sigma_xy
0.466583765,3.748856051,1.31634E-05,-0.002972708,,,0.594799047,3.340818645,-4.416337273,-11.91337987,-0.06710386
0.469788411,3.371831955,1.47179E-05,-0.002856841,,,0.610164308,3.96816681,0.323813888,-0.573137774,-0.005349431
0.487765069,1.126746827,1.62847E-05,-0.001038907,,,0.612853171,2.967167887,-7.205620018,-18.68372423,-0.067729189
0.487765069,1.126746827,1.62847E-05,-0.001038907,,,0.613147512,1.029272847,-21.0917201,-53.38050606,0.262345865
0.487841227,2.871161649,1.80698E-05,-0.002554104,,,0.613503394,0.97611065,-21.55347211,-54.3130681,0.276497192
0.487841227,2.871161649,1.80698E-05,-0.002554104,,,0.613646843,3.020324407,-6.808512277,-17.72090588,-0.069648837
0.489439176,0.876666164,1.37848E-05,-0.00083537,,,0.624876558,2.153689133,-13.36700533,-33.37264671,-0.001522417
0.489439176,0.876666164,1.37848E-05,-0.00083537,,,0.625413989,1.845533406,-14.36346237,-38.90564438,0.049708841
0.491574746,3.121215607,1.68081E-05,-0.002726579,,,0.626135304,2.341773892,-11.92312647,-29.98606031,-0.020560336
0.491574746,3.121215607,1.68081E-05,-0.002726579,,,0.627237522,1.656631611,-15.86094255,-42.28059866,0.097729913
0.495220931,2.372604187,2.02864E-05,-0.002084005,,,0.628197668,0.155785722,-29.0423416,-68.56215815,0.460588904
0.49608677,1.626143268,1.97431E-05,-0.001397617,,,0.631307261,0.346073792,-27.24637007,-65.27621371,0.432391735
0.499279875,0.375981942,6.87856E-06,-0.000381161,,,0.636833122,2.869373377,-7.935875458,-20.45498876,-0.065681255
0.508629028,3.622712103,1.47269E-05,-0.0029447,,,0.637433987,1.127269355,-20.24162654,-51.65597519,0.24607779
0.539473734,2.49640628,2.17766E-05,-0.002216417,,,0.638929824,2.676961681,-9.380013231,-23.93585312,-0.052502226
0.539473734,2.49640628,2.17766E-05,-0.002216417,,,0.639103317,0.877902178,-22.40790437,-56.0298079,0.314933272
0.540772493,1.501714902,2.09536E-05,-0.001314239,,,0.639930011,1.320463743,-18.60773834,-48.24830375,0.192737247
0.540772493,1.501714902,2.09536E-05,-0.001314239,,,0.64055599,3.118713926,-6.073905432,-15.93881695,-0.074920224
0.541666667,0,0,0,,,0.64301617,3.652263721,-2.084298822,-6.275292127,-0.050603294
0.541666667,0,0,0,,,0.644192303,0.683755876,-24.13920861,-59.41640974,0.367548095
0.541666667,0,0,0,,,0.646468721,3.843403665,-0.636929028,-2.82226844,-0.02607411
0.542287101,2,2.24448E-05,-0.001623569,,,0.648435402,3.313601557,-4.621152521,-12.40728882,-0.07433846
0.542287101,2,2.24448E-05,-0.001623569,,,0.654448624,2.527135368,-10.51012642,-26.64279197,-0.040094708
0.542287101,2,2.24448E-05,-0.001623569,,,0.65591898,1.470552374,-17.36137338,-45.58870373,0.154771455
0.542287101,2,2.24448E-05,-0.001623569,,,0.661770465,0.533359448,-25.50421506,-62.02747517,0.414352738
0.542287101,2,2.24448E-05,-0.001623569,,,0.662751027,2.464268465,-10.98614566,-27.77746901,-0.03422195
0.542287101,2,2.24448E-05,-0.001623569,,,0.664264206,1.533542532,-16.84466339,-44.46958423,0.1388295
0.545794813,0.501472913,9.76179E-06,-0.00050074,,,0.66749835,3.464234952,-3.497431841,-9.678618031,-0.06943241
0.545794813,0.501472913,9.76179E-06,-0.00050074,,,0.670076548,0.470171578,-26.08445789,-63.12169765,0.434090792
0.550674292,3.496568154,1.65215E-05,-0.002905959,,,0.677300015,3.527546077,-3.02444262,-8.532317111,-0.065782475
0.550674292,3.496568154,1.65215E-05,-0.002905959,,,0.682608773,2.315201368,-12.12024849,-30.46500469,-0.018764911
0.5603278,2.994327462,2.00082E-05,-0.002644468,,,0.683710991,1.683204136,-15.63289865,-41.80410682,0.100056151
0.5603278,2.994327462,2.00082E-05,-0.002644468,,,0.688881065,0.319501267,-27.48446856,-65.72515582,0.478610895
0.560329715,1.00244911,1.73946E-05,-0.000939642,,,0.701320981,3.678836246,-1.890893926,-5.795138448,-0.052360324
0.560329715,1.00244911,1.73946E-05,-0.000939642,,,0.713183741,2.026317874,-14.34317737,-35.6609072,0.014157895
0.564993588,2.745843891,2.16894E-05,-0.002451823,,,0.713275772,1.973548993,-13.34452023,-36.60835839,0.023892265
0.564993588,2.745843891,2.16894E-05,-0.002451823,,,0.714645835,2.742983017,-8.877495028,-22.74348725,-0.064144515
0.565520043,1.25192673,2.0125E-05,-0.001134777,,,0.71585447,1.25352068,-19.14653368,-49.42416433,0.238412864
0.565520043,1.25192673,2.0125E-05,-0.001134777,,,0.716127978,2.123448884,-13.59057061,-33.91554309,0.003275776
0.566051334,4,1.55925E-05,-0.002996813,,,0.716559662,1.87592663,-14.10191253,-38.35843516,0.050301604
0.566051334,4,1.55925E-05,-0.002996813,,,0.718120872,2.557914708,-10.27076296,-26.0879557,-0.046687976
0.566051334,4,1.55925E-05,-0.002996813,,,0.719212236,0.751932385,-23.50605575,-58.21824402,0.393163208
0.568868256,0.751765404,1.42963E-05,-0.000727775,,,0.719662399,0.026676896,-30.26743594,-70.76600987,0.548078645
0.568868256,0.751765404,1.42963E-05,-0.000727775,,,0.71972018,1.439329347,-17.5986865,-46.13797276,0.181016027
0.572460627,3.245951806,1.87327E-05,-0.002796905,,,0.722134178,3.24451775,-5.137298256,-13.6604949,-0.084867184
0.572460627,3.245951806,1.87327E-05,-0.002796905,,,0.723079217,0.125132943,-29.32128765,-69.07061255,0.537832143
0.586539903,2.123802093,2.44005E-05,-0.001786858,,,0.725571664,0.565225436,-25.19643081,-61.46408411,0.447916747
